comment,class
"Check out my channel for free giveaways!!",spam
"Awesome video, thanks for sharing!",ham
"Subscribe to my channel and win a prize!",spam
"Very helpful tutorial, I learned a lot.",ham
"Click this link to become rich fast: http://scam.com",spam
"Thanks, this worked perfectly!",ham
"Free followers here!!! Just click!",spam
"I love this content, keep it up!",ham
"Get 1,000 subscribers instantly! Visit our site now!",spam
"Great explanation, very easy to follow!",ham
"Win a free iPhone today. Don't miss out!",spam
"Best tech video I’ve seen today!",ham
"Limited time offer! Get rich quick!",spam
"Thanks man, saved my time!",ham
"Click here for free crypto airdrops!",spam
"This was super helpful, thank you!",ham
"Subscribe to my music channel for more hits!",spam
"Excellent walkthrough, subbed!",ham
"Visit our page to earn $100 daily!",spam
"You broke it down really well!",ham
"Follow me and get instant views!",spam
"Get paid to watch videos! Just click!",spam
"Such a helpful guide!",ham
"Download this app to earn money fast!",spam
"This deserves more views!",ham
"Buy likes, subs and comments here!",spam
"Finally someone explained this well!",ham
"Earn $500/day from home!",spam
"This helped me fix the issue in minutes!",ham
"Check this new trading bot. Easy profits!",spam
"Super clean content, subbed!",ham
"Fastest way to grow your YouTube! Try it!",spam
"You’re a lifesaver, thank you!",ham
"Claim your reward now, hurry!",spam
"Simple and effective, great job!",ham
"Get TikTok views for free – just sign up!",spam
"One of the most useful tutorials!",ham
"Visit this link to win prizes!",spam
"This worked like a charm!",ham
"Free Bitcoin giveaways here!",spam
"Love your editing style!",ham
"Join my course to get rich online!",spam
"This was exactly what I needed!",ham
"Get instant PayPal cash – no work!",spam
"Subscribed. Keep it up!",ham
"Watch this if you want to be successful fast!",spam
"Very insightful content!",ham
"Auto-likes and subscribers available now!",spam
"Your explanation was perfect!",ham
"Subscribe to my channel and win a free iPhone!",1
"Great video! Thanks for sharing.",0
"Check this amazing offer: bit.ly/spamlink",1
"I love the way you explained this topic.",0
"Visit my profile for more!",1
"This was really helpful. Subscribed!",0
"Click here for a surprise gift 🎁",1
"Well done! Looking forward to more videos.",0
"Earn money fast from home 💸",1
"Nice editing and very clear explanation.",0
